2582463,189159,2021-06-23 13:54:10.269909
2582450,186986,2021-06-23 13:55:13.989810
2582437,189160,2021-06-23 13:56:17.765566
2582379,189302,2021-06-23 13:57:21.472127
2582402,189300,2021-06-23 13:58:25.341117
2581587,189300,2021-06-23 13:59:29.065062
2581603,186984,2021-06-23 14:00:33.032159
2581509,189157,2021-06-23 14:01:36.653199
2582324,186980,2021-06-23 14:02:40.408846
2582316,186983,2021-06-23 14:03:44.136778
2581441,189155,2021-06-23 14:04:47.940520
2581509,186982,2021-06-23 14:05:51.529242
2582351,189297,2021-06-23 14:06:55.197351
2581502,189154,2021-06-23 14:07:58.819284
2582316,189155,2021-06-23 14:09:02.809050
2581502,189154,2021-06-23 14:10:06.573047
2582363,189297,2021-06-23 14:11:18.253805
2582365,189300,2021-06-23 14:12:22.030327
2582378,186984,2021-06-23 14:13:25.894598
2582389,189300,2021-06-23 14:14:29.658901
2582322,186985,2021-06-23 14:15:33.371817
2581493,186983,2021-06-23 14:16:36.963879
2581383,189156,2021-06-23 14:17:40.782813
2581404,189154,2021-06-23 14:18:44.761424
2582272,186981,2021-06-23 14:19:48.503612
2582324,189153,2021-06-23 14:20:52.418919
2582356,186981,2021-06-23 14:21:56.009046
2582308,186979,2021-06-23 14:22:59.783497
2582305,189153,2021-06-23 14:24:03.492075
2582342,186983,2021-06-23 14:25:07.810584
2582352,189299,2021-06-23 14:26:11.565467
2582412,186986,2021-06-23 14:27:15.249587
2582421,189302,2021-06-23 14:28:19.243806
2581598,189158,2021-06-23 14:29:22.980392
2582417,189301,2021-06-23 14:30:26.689010
2582405,186985,2021-06-23 14:31:31.717397
2582402,186985,2021-06-23 14:32:35.773090
2582405,186988,2021-06-23 14:33:39.432453
2582379,186987,2021-06-23 14:34:43.495971
2581532,189159,2021-06-23 14:35:47.161472
2582325,186983,2021-06-23 14:36:50.791579
2582339,189154,2021-06-23 14:37:54.645335
2582352,189154,2021-06-23 14:38:58.644728
2581582,189152,2021-06-23 14:40:02.587867
2582379,189153,2021-06-23 14:41:06.335040
2582379,189153,2021-06-23 14:42:10.218378
2581550,186979,2021-06-23 14:43:13.919538
2582364,189154,2021-06-23 14:44:17.768798
2582353,186979,2021-06-23 14:45:21.316436
2582330,186977,2021-06-23 14:46:25.253214
2581524,186976,2021-06-23 14:47:28.740001
2581379,186976,2021-06-23 15:12:41.528227
2581528,189148,2021-06-23 15:13:46.002155
2582339,186974,2021-06-23 15:14:50.012275
2581466,189149,2021-06-23 15:15:53.680200
2582285,189291,2021-06-23 15:16:57.256200
2582308,189148,2021-06-23 15:18:01.895506
2582329,189147,2021-06-23 15:19:05.607471
2582350,189286,2021-06-23 15:20:09.527616
2582312,189289,2021-06-23 15:21:13.314796
2581502,189145,2021-06-23 15:22:16.930775
